Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
B1K1B1A3,Exclusiva (Nombre Propio),f39r,1,f104v (x1),C1:1
K1BaA3,Exclusiva (Nombre Propio),f39r,7,f106v (x2) | f94v (x1) | f95r (x1) | f95v (x1) | f105r (x1) | f107v (x1),G1:3 | B3:2 | B2:1
A2Q2J1BaA2Q1A1,Exclusiva (Nombre Propio),f39v,0,NINGUNO,N/A
A1J1Q1A3,Exclusiva (Nombre Propio),f39v,0,NINGUNO,N/A
Q1J1A1B1A3,Exclusiva (Nombre Propio),f40r,2,f87r (x1) | f94r (x1),G1:2
AaQ1A3,Exclusiva (Nombre Propio),f40r,16,f106r (x2) | f107r (x2) | f107v (x2) | f111v (x2) | f113r (x2) | f104r (x1) | f111r (x1) | f112r (x1) | f112v (x1) | f113v (x1) | f116r (x1),F1:8 | G1:6 | B2:1
B2A1Q1A3,Exclusiva (Nombre Propio),f40r,2,f103r (x1) | f111r (x1),F1:1 | B3:1
Q2A1,Comun (Generica),f40r | f48v | f54r,20,f89r (x2) | f90r (x2) | f96r (x2) | f87r (x1) | f88v (x1) | f89v (x1) | f90v (x1) | f93r (x1) | f95r (x1) | f99r (x1) | f102r (x1) | f102v (x1) | f104r (x1) | f107v (x1) | f111v (x1) | f113r (x1) | f115v (x1),B2:9 | C1:7 | C2:3
Q2A1A3,Exclusiva (Nombre Propio),f40r,3,f89v (x1) | f96r (x1) | f104r (x1),G1:2 | C1:1
Q2A1B1A3,Exclusiva (Nombre Propio),f40v,3,f94r (x1) | f94v (x1) | f114r (x1),G1:2 | B2:1
K1J1Q2A3,Comun (Generica),f40v | f42r,9,f111v (x2) | f114v (x2) | f116r (x2) | f94v (x1) | f112v (x1) | f113r (x1),C1:3 | F1:3 | G1:2
K1Q2L1A3,Exclusiva (Nombre Propio),f42r,0,NINGUNO,N/A
D1A1P1A1,Exclusiva (Nombre Propio),f42r,4,f89v (x1) | f112r (x1) | f115r (x1) | f115v (x1),B2:3 | C1:1
A1Q1J1A1Q1J1A3,Exclusiva (Nombre Propio),f42v,0,NINGUNO,N/A
K1J1A1Q2K1A3,Exclusiva (Nombre Propio),f42v,0,NINGUNO,N/A
P1A1L1J1A1,Exclusiva (Nombre Propio),f42v,1,f115r (x1),C2:1
A2Q1A3,Comun (Generica),f43r | f46v | f50v | f52v,21,f105r (x3) | f94r (x2) | f95r (x2) | f107r (x2) | f114r (x2) | f88r (x1) | f89v (x1) | f104r (x1) | f104v (x1) | f106r (x1) | f106v (x1) | f108v (x1) | f112r (x1) | f113v (x1) | f115r (x1),G1:8 | C1:7 | B3:2
P1L1B1A3,Exclusiva (Nombre Propio),f43r,1,f106r (x1),C1:1
Q2A3C1K1A1,Exclusiva (Nombre Propio),f43v,0,NINGUNO,N/A
A1Q1K1A3,Comun (Generica),f44v | f45r,4,f94v (x1) | f106r (x1) | f111v (x1) | f112r (x1),G1:2 | C1:2
B2K1Aa,Exclusiva (Nombre Propio),f44v,0,NINGUNO,N/A
B2K1A3,Exclusiva (Nombre Propio),f45r,8,f111v (x3) | f115v (x2) | f104v (x1) | f111r (x1) | f113v (x1),B2:5 | C1:1 | F1:1
A2Q1L1J1A1,Exclusiva (Nombre Propio),f45v,0,NINGUNO,N/A
Q2L1J1BaA3,Exclusiva (Nombre Propio),f46r,0,NINGUNO,N/A
A1Q2K1J1A3B2Q2A3,Exclusiva (Nombre Propio),f46r,0,NINGUNO,N/A
A3G3K1A3,Exclusiva (Nombre Propio),f46v,0,NINGUNO,N/A
P2A1B2,Exclusiva (Nombre Propio),f47r,1,f101v (x1),C2:1
D1A1Q1A1Q1A1,Exclusiva (Nombre Propio),f47r,0,NINGUNO,N/A
K1J1A1Q2A3,Exclusiva (Nombre Propio),f47v,2,f107r (x1) | f114v (x1),F1:1 | G1:1
Q1A1,Exclusiva (Nombre Propio),f48v,15,f101r (x4) | f105r (x2) | f87r (x1) | f88r (x1) | f89v (x1) | f90r (x1) | f90v (x1) | f95r (x1) | f101v (x1) | f102v (x1) | f114r (x1),C1:7 | B2:5 | A1:1
P1K1J1BaA3,Exclusiva (Nombre Propio),f48v,2,f103r (x1) | f111r (x1),B2:1 | C1:1
D1A1Q1J1A1,Exclusiva (Nombre Propio),f49r,60,f102v (x9) | f89r (x5) | f99v (x5) | f90r (x4) | f88r (x3) | f100v (x3) | f101v (x3) | f102r (x3) | f103r (x3) | f90v (x2) | f101r (x2) | f106r (x2) | f111r (x2) | f115r (x2) | f88v (x1) | f96r (x1) | f99r (x1) | f100r (x1) | f104r (x1) | f104v (x1) | f107r (x1) | f107v (x1) | f108r (x1) | f108v (x1) | f111v (x1) | f113r (x1),B2:36 | C1:13 | B1:6
P2K1A1K1A1,Exclusiva (Nombre Propio),f49v,0,NINGUNO,N/A
P1L1J1A1,Exclusiva (Nombre Propio),f50r,0,NINGUNO,N/A
Q1A3,Comun (Generica),f50r | f50v,82,f107r (x12) | f104v (x5) | f105v (x5) | f107v (x5) | f111v (x5) | f104r (x4) | f106v (x4) | f111r (x4) | f112v (x4) | f114r (x4) | f114v (x4) | f95r (x3) | f106r (x3) | f113r (x3) | f113v (x3) | f94r (x2) | f103r (x2) | f105r (x2) | f108v (x2) | f115v (x2) | f90v (x1) | f103v (x1) | f108r (x1) | f115r (x1),G1:30 | C1:17 | F1:17
L1K2Q1A3,Exclusiva (Nombre Propio),f50r,2,f111v (x1) | f114r (x1),C1:1 | C2:1
A2K1A1C2A3,Exclusiva (Nombre Propio),f51r,0,NINGUNO,N/A
D1A1Q1A1B1A3,Exclusiva (Nombre Propio),f51v,2,f87v (x1) | f114r (x1),B2:1 | G1:1
A1A1,Exclusiva (Nombre Propio),f52v,2,f111r (x1) | f114r (x1),G1:1 | C1:1
U2J1A1,Exclusiva (Nombre Propio),f52v,12,f101r (x2) | f102v (x2) | f88r (x1) | f90v (x1) | f93v (x1) | f96r (x1) | f96v (x1) | f99r (x1) | f99v (x1) | f100r (x1),B2:7 | C2:2 | C1:2
D1A1J1Q1A3,Exclusiva (Nombre Propio),f52v,0,NINGUNO,N/A
K1J1A1Q1A1,Exclusiva (Nombre Propio),f52v,1,f89r (x1),C1:1
A2Q1J1A1B1A3,Exclusiva (Nombre Propio),f53r,2,f88v (x1) | f114r (x1),F1:1 | G1:1
A1D1A1Aa,Exclusiva (Nombre Propio),f53r,0,NINGUNO,N/A
C2A1B1A3,Exclusiva (Nombre Propio),f53r,0,NINGUNO,N/A
A2A1,Exclusiva (Nombre Propio),f54r,1,f114v (x1),B4:1
P1K1J1A1B1A3,Exclusiva (Nombre Propio),f54v,5,f106r (x2) | f113r (x1) | f114v (x1) | f115r (x1),F3:1 | C1:1 | G1:1
AbQ1A3,Exclusiva (Nombre Propio),f54v,1,f87v (x1),G1:1
Q2K1J1B1Aa,Exclusiva (Nombre Propio),f55r,0,NINGUNO,N/A
B2K1A1,Exclusiva (Nombre Propio),f55r,3,f113r (x2) | f99v (x1),B2:2 | B1:1
Q2Aa,Exclusiva (Nombre Propio),f55v,1,f107v (x1),B2:1
K1J1A1A3,Exclusiva (Nombre Propio),f55v,7,f113r (x3) | f106v (x2) | f114r (x1) | f114v (x1),C1:3 | G1:2 | G3:1
K1A1K1A1,Exclusiva (Nombre Propio),f56r,0,NINGUNO,N/A
A3C1A3B2A3C1A3,Exclusiva (Nombre Propio),f57v,0,NINGUNO,N/A
A1T2A1,Exclusiva (Nombre Propio),f57v,0,NINGUNO,N/A
A1Q1J1A3,Exclusiva (Nombre Propio),f57v,12,f108v (x3) | f111r (x2) | f101r (x1) | f102v (x1) | f103r (x1) | f103v (x1) | f106v (x1) | f111v (x1) | f112r (x1),B2:5 | C1:5 | G1:1
