Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
A1K2A3,Exclusiva (Nombre Propio),f7v,5,f104r (x2) | f89v (x1) | f102r (x1) | f112v (x1),C1:2 | B2:2 | G1:1
K1A1C1K1J1A1,Exclusiva (Nombre Propio),f7v,0,NINGUNO,N/A
K1A1B1A3,Exclusiva (Nombre Propio),f8r,31,f114r (x5) | f106v (x4) | f104v (x3) | f115v (x3) | f89r (x2) | f89v (x2) | f93r (x2) | f113r (x2) | f90v (x1) | f96r (x1) | f101r (x1) | f102v (x1) | f105v (x1) | f107r (x1) | f114v (x1) | f115r (x1),G1:17 | C1:6 | F1:4
A1Q1A3,Comun (Generica),f23r | f40v | f55v | f8r,288,f113v (x25) | f107v (x22) | f111v (x18) | f107r (x16) | f103r (x15) | f104r (x15) | f108r (x15) | f116r (x13) | f106r (x12) | f113r (x11) | f105v (x10) | f106v (x10) | f108v (x10) | f112v (x10) | f95r (x9) | f114r (x9) | f103v (x8) | f112r (x7) | f89v (x6) | f95v (x6) | f105r (x6) | f104v (x5) | f114v (x5) | f94r (x4) | f111r (x4) | f115v (x4) | f89r (x3) | f90r (x3) | f94v (x2) | f88r (x1) | f88v (x1) | f99v (x1) | f100v (x1) | f115r (x1),G1:100 | F1:63 | C1:51
C2A3,Comun (Generica),f17v | f24r | f33v | f54r | f8v,140,f112r (x10) | f108v (x9) | f103r (x8) | f111r (x8) | f112v (x8) | f89v (x6) | f103v (x6) | f111v (x6) | f88r (x5) | f104r (x5) | f106v (x5) | f89r (x4) | f102v (x4) | f106r (x4) | f107r (x4) | f87r (x3) | f90v (x3) | f104v (x3) | f107v (x3) | f113r (x3) | f114r (x3) | f115r (x3) | f87v (x2) | f90r (x2) | f99r (x2) | f100r (x2) | f100v (x2) | f105r (x2) | f108r (x2) | f115v (x2) | f116r (x2) | f88v (x1) | f93r (x1) | f94r (x1) | f95v (x1) | f96v (x1) | f101r (x1) | f101v (x1) | f105v (x1) | f113v (x1),G1:53 | C1:29 | F1:26
P1K1A3,Exclusiva (Nombre Propio),f8v,0,NINGUNO,N/A
A1Q2K1A3,Comun (Generica),f45r | f8v,4,f113v (x2) | f89r (x1) | f89v (x1),B3:2 | C1:2
P2A1K1A1,Exclusiva (Nombre Propio),f9v,0,NINGUNO,N/A
P1K1A1,Comun (Generica),f19r | f21r | f52v | f9v,7,f103v (x2) | f99r (x1) | f102v (x1) | f104r (x1) | f105v (x1) | f113r (x1),B2:4 | C1:3
U2A1A1,Exclusiva (Nombre Propio),f10r,0,NINGUNO,N/A
C2A1,Comun (Generica),f10r | f15v | f16v | f17v | f28v | f37r | f39v | f50r,35,f102r (x4) | f89v (x2) | f93r (x2) | f96v (x2) | f102v (x2) | f104v (x2) | f106v (x2) | f112r (x2) | f115r (x2) | f87r (x1) | f89r (x1) | f93v (x1) | f95v (x1) | f96r (x1) | f99r (x1) | f99v (x1) | f100r (x1) | f100v (x1) | f101r (x1) | f111v (x1) | f112v (x1) | f113r (x1) | f114v (x1) | f115v (x1),B2:14 | C1:11 | G1:6
D1A1Q2K1A1,Comun (Generica),f10r | f14r | f15r | f19r | f30r | f30v | f36v | f37v | f42r,4,f93v (x2) | f90r (x1) | f96r (x1),B2:2 | C1:1 | C2:1
A1A2Q1K1A1,Exclusiva (Nombre Propio),f10r,0,NINGUNO,N/A
A1D1A1Q2Aa,Exclusiva (Nombre Propio),f10r,0,NINGUNO,N/A
A1Q2A1,Comun (Generica),f10r | f17v | f21r | f23v | f25r | f28r,32,f106v (x3) | f113v (x3) | f89r (x2) | f105r (x2) | f105v (x2) | f114r (x2) | f114v (x2) | f87v (x1) | f88v (x1) | f89v (x1) | f93r (x1) | f95r (x1) | f99v (x1) | f101r (x1) | f102v (x1) | f103r (x1) | f104v (x1) | f106r (x1) | f107r (x1) | f107v (x1) | f108r (x1) | f112v (x1) | f116r (x1),B2:19 | C1:9 | A2:1
ClA1Q2K1A1L1A1,Exclusiva (Nombre Propio),f10r,0,NINGUNO,N/A
D1A1Q2K1A2Q2A1,Exclusiva (Nombre Propio),f10v,0,NINGUNO,N/A
Q2A1C1L1A1,Exclusiva (Nombre Propio),f13r,0,NINGUNO,N/A
A1K1Q1K1Aa,Exclusiva (Nombre Propio),f14r,0,NINGUNO,N/A
A1Q1K1A1,Comun (Generica),f14v | f18v | f20r | f32r | f37r,5,f89v (x1) | f99r (x1) | f101r (x1) | f112r (x1) | f115r (x1),B2:3 | H1:1 | C1:1
K1A1Q1L1A1,Exclusiva (Nombre Propio),f14v,0,NINGUNO,N/A
Q2L1A1,Exclusiva (Nombre Propio),f15r,5,f90v (x1) | f95r (x1) | f95v (x1) | f99r (x1) | f106v (x1),C1:2 | B1:2 | B2:1
Q2A1B2Q1A3G1,Exclusiva (Nombre Propio),f15r,0,NINGUNO,N/A
P1A3C1A1,Exclusiva (Nombre Propio),f15v,0,NINGUNO,N/A
CmK1A1,Exclusiva (Nombre Propio),f15v,0,NINGUNO,N/A
U2A1,Comun (Generica),f15v | f18r | f19r | f19v | f24r | f25v | f36r | f36v | f37r | f52v,13,f89v (x3) | f93r (x3) | f113v (x2) | f87r (x1) | f88r (x1) | f90r (x1) | f93v (x1) | f101v (x1),B2:10 | C2:1 | C1:1
