Folio,Rank,Recipe,F1,N_TP
f116r,2,Theodoricon Euporistum,66.7,8
f116r,3,Trifera Saracenica,63.6,7
f116r,4,Philonium Persicum,60.9,7
f116r,5,Electuarium Justinum,60.9,7
f116v,1,Theriac Magna (Triaca de Andromachus),0.0,0
f116v,2,Mithridatium,0.0,0
f116v,3,Diascordium,0.0,0
f116v,4,Pillulae Cochiae,0.0,0
f116v,5,Pillulae Aureae,0.0,0
f87r,1,Confectio Hamech,57.1,2
f87r,2,Itrifal Ustukhudus (Electuario de Espliego),57.1,2
f87r,3,Pillulae Aureae,40.0,1
f87r,4,Pillulae de Hiera cum Agarico,40.0,1
f87r,5,Theriac Diatessaron,40.0,1
f87v,1,Unguentum Apostolorum,88.9,4
f87v,2,Pillulae Fetidae (Pildoras Fetidas),80.0,4
f87v,3,Theriac Magna (Triaca de Andromachus),40.0,4
f87v,4,Theriac Abulcasis (contra venenos),37.5,3
f87v,5,Trifera Magna,36.4,4
f88r,1,Trifera Magna,80.0,12
f88r,2,Mithridatium,69.2,9
f88r,3,Electuarium Justinum,66.7,8
f88r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),66.7,7
f88r,5,Theriac Magna (Triaca de Andromachus),64.3,9
f88v,1,Trifera Saracenica,90.0,9
f88v,2,Philonium Persicum,85.7,9
f88v,3,Theodoricon Euporistum,81.8,9
f88v,4,Paulinum,80.0,8
f88v,5,Mithridatium,78.3,9
f89r,1,Mithridatium,84.6,11
f89r,2,Philonium Persicum,83.3,10
f89r,3,Trifera Magna,80.0,12
f89r,4,Theodoricon Euporistum,80.0,10
f89r,5,Theriac Magna (Triaca de Andromachus),78.6,11
f89v,1,Trifera Saracenica,90.0,9
f89v,2,Philonium Persicum,85.7,9
f89v,3,Theodoricon Euporistum,81.8,9
f89v,4,Paulinum,80.0,8
f89v,5,Mithridatium,78.3,9
f90r,1,Electuarium de Baccis Lauri,85.7,6
f90r,2,Oximel Compositum,72.7,4
f90r,3,Antidotum Hadriani,62.5,5
f90r,4,Electuarium Diaspermaton,61.5,4
f90r,5,Mithridatium,60.0,6
f90v,1,Antidotum Hadriani,82.4,7
f90v,2,Theriac Abulcasis (contra venenos),73.7,7
f90v,3,Theriac Magna (Triaca de Andromachus),69.6,8
f90v,4,Mithridatium,66.7,7
f90v,5,Hiera Picra (Hiera de Galeno),66.7,4
f93r,1,Philonium Persicum,77.8,7
f93r,2,Trifera Saracenica,70.6,6
f93r,3,Paulinum,70.6,6
f93r,4,Aurea Alexandrina,66.7,6
f93r,5,Dianucum (Electuario de Nueces),66.7,4
f93v,1,Philonium Persicum,63.2,6
f93v,2,Theriac Magna (Triaca de Andromachus),60.9,7
f93v,3,Diascordium,58.8,5
f93v,4,Trifera Saracenica,55.6,5
f93v,5,Paulinum,55.6,5
f94r,1,Electuarium de Baccis Lauri,83.3,5
f94r,2,Oximel Compositum,66.7,3
f94r,3,Antidotum Hadriani,57.1,4
f94r,4,Mithridatium,55.6,5
f94r,5,Electuarium Diaspermaton,54.5,3
f94v,1,Antidotum Hadriani,87.5,7
f94v,2,Theriac Abulcasis (contra venenos),77.8,7
f94v,3,Electuarium de Baccis Lauri,71.4,5
f94v,4,Confectio Anacardia,71.4,5
f94v,5,Philonium Romanum,71.4,5
f95r,1,Theriac Abulcasis (contra venenos),76.2,8
f95r,2,Trifera Magna,74.1,10
f95r,3,Theodoricon Euporistum,72.7,8
f95r,4,Theriac Magna (Triaca de Andromachus),72.0,9
f95r,5,Confectio Anacardia,70.6,6
f95v,1,Philonium Persicum,70.6,6
f95v,2,Antidotum Hadriani,66.7,5
f95v,3,Trifera Saracenica,62.5,5
f95v,4,Paulinum,62.5,5
f95v,5,Confectio Anacardia,61.5,4
f96r,1,Philonium Persicum,66.7,6
f96r,2,Trifera Saracenica,58.8,5
f96r,3,Confectio Anacardia,57.1,4
f96r,4,Theriac Abulcasis (contra venenos),55.6,5
f96r,5,Theriac Magna (Triaca de Andromachus),54.5,6
f96v,1,Pillulae Aureae,50.0,1
f96v,2,Pillulae de Hiera cum Agarico,50.0,1
f96v,3,Hiera Picra (Hiera de Galeno),40.0,1
f96v,4,Benedicta Laxativa,40.0,1
f96v,5,Requies Magna (Requies Nicolai),33.3,1
f99r,1,Electuarium Justinum,77.8,7
f99r,2,Theodoricon Euporistum,73.7,7
f99r,3,Paulinum,70.6,6
f99r,4,Aurea Alexandrina,66.7,6
f99r,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),66.7,5
f99v,1,Aurea Alexandrina,90.0,9
f99v,2,Paulinum,84.2,8
f99v,3,Theodoricon Euporistum,76.2,8
f99v,4,Trifera Saracenica,73.7,7
f99v,5,Mithridatium,72.7,8
