Folio,Total_Words,Unique_Stems,Identified_Ingredients,Ingredients_List,Best_Match,Best_Overlap,Best_Overlap_Ings,Best_F1,Best_Folio_Cov,Best_Recipe_Cov,Best_Struct_Sim,Second_Match,Second_F1
f101r,223,123,11,Amomum | Casia | Cinnamomum | Crocus | Cubeba | Galanga | Mel despumatum | Myrrha | Nux moschata | Piper nigrum | Zingiber,Electuarium Justinum,8,Amomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,64.0,72.7,57.1,11.4,Paulinum,58.3
f101v,172,128,7,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,Trifera Saracenica,7,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,66.7,100.0,50.0,10.9,Electuarium Justinum,66.7
f102r,228,157,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Opopanax | Piper nigrum | Zingiber,Trifera Saracenica,7,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,63.6,87.5,50.0,8.9,Electuarium Justinum,63.6
f102v,302,180,7,Cardamomum | Casia | Crocus | Galbanum | Mel despumatum | Myrrha | Zingiber,Trifera Saracenica,6,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Zingiber,57.1,85.7,42.9,7.8,Electuarium Justinum,57.1
f103r,522,261,5,Amomum | Cardamomum | Crocus | Myrrha | Piper longum,Electuarium Justinum,5,Amomum | Cardamomum | Crocus | Myrrha | Piper longum,52.6,100.0,35.7,5.4,Theodoricon Euporistum,45.5
f103v,440,216,6,Amomum | Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,Electuarium Justinum,6,Amomum | Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,60.0,100.0,42.9,6.5,Theodoricon Euporistum,52.2
f104r,438,251,8,Amomum | Cardamomum | Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Zingiber,Electuarium Justinum,7,Amomum | Cardamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,63.6,87.5,50.0,5.6,Theodoricon Euporistum,56.0
f104v,467,250,7,Cardamomum | Casia | Cinnamomum | Crocus | Galbanum | Myrrha | Piper longum,Trifera Saracenica,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,5.6,Electuarium Justinum,57.1
f105r,371,236,9,Bdellium | Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,Trifera Saracenica,8,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,69.6,88.9,57.1,5.9,Electuarium Justinum,69.6
f105v,392,224,6,Amomum | Crocus | Myrrha | Opopanax | Piper longum | Piper nigrum,Electuarium Justinum,5,Amomum | Crocus | Myrrha | Piper longum | Piper nigrum,50.0,83.3,35.7,6.2,Theriac Abulcasis (contra venenos),50.0
