Folio,Rank,Recipe,F1,N_Overlap,Overlap_Ingredients
f95r,2,Theriac Abulcasis (contra venenos),54.5,6,Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum
f95r,3,Philonium Romanum,52.6,5,Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f95r,4,Theodoricon Euporistum,48.0,6,Amomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f95r,5,Paulinum,47.6,5,Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f95v,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),37.5,3,Casia|Crocus|Piper longum
f95v,2,Antidotum Hadriani,37.5,3,Casia|Crocus|Piper longum
f95v,3,Philonium Persicum,36.4,4,Casia|Crocus|Piper longum|Styrax
f95v,4,Paulinum,35.3,3,Casia|Crocus|Piper longum
f95v,5,Trifera Saracenica,33.3,3,Casia|Crocus|Piper longum
f96r,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),44.4,4,Cardamomum|Crocus|Mel despumatum|Piper nigrum
f96r,2,Philonium Persicum,41.7,5,Cardamomum|Crocus|Mel despumatum|Piper nigrum|Styrax
f96r,3,Trifera Saracenica,40.0,4,Cardamomum|Crocus|Mel despumatum|Piper nigrum
f96r,4,Electuarium Justinum,40.0,4,Cardamomum|Crocus|Mel despumatum|Piper nigrum
f96r,5,Theriac Abulcasis (contra venenos),40.0,4,Crocus|Galbanum|Mel despumatum|Piper nigrum
f96v,1,Pillulae Aureae,25.0,1,Crocus
f96v,2,Rosata Novella,25.0,1,Crocus
f96v,3,Pillulae de Hiera cum Agarico,20.0,1,Crocus
f96v,4,Suffuf al-Tib (Polvo aromatico de Avicena),20.0,1,Crocus
f96v,5,Hiera Picra (Hiera de Galeno),18.2,1,Crocus
f99r,1,Electuarium Justinum,52.6,5,Amomum|Casia|Crocus|Mel despumatum|Piper nigrum
f99r,2,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),47.1,4,Casia|Crocus|Mel despumatum|Piper nigrum
f99r,3,Theodoricon Euporistum,45.5,5,Amomum|Casia|Crocus|Mel despumatum|Piper nigrum
f99r,4,Paulinum,44.4,4,Casia|Crocus|Mel despumatum|Piper nigrum
f99r,5,Trifera Saracenica,42.1,4,Casia|Crocus|Mel despumatum|Piper nigrum
f99v,1,Paulinum,52.6,5,Casia|Cinnamomum|Myrrha|Piper longum|Piper nigrum
f99v,2,Trifera Saracenica,50.0,5,Casia|Cinnamomum|Myrrha|Piper longum|Piper nigrum
f99v,3,Electuarium Justinum,50.0,5,Casia|Cinnamomum|Myrrha|Piper longum|Piper nigrum
f99v,4,Philonium Romanum,47.1,4,Cinnamomum|Myrrha|Piper longum|Piper nigrum
f99v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),44.4,4,Casia|Cinnamomum|Piper longum|Piper nigrum
f100r,1,Suffuf al-Tib (Polvo aromatico de Avicena),70.6,6,Cardamomum|Casia|Cinnamomum|Crocus|Galanga|Nux moschata
f100r,2,Diamargariton (Electuario de Perlas),66.7,8,Cardamomum|Casia|Cinnamomum|Crocus|Cubeba|Galanga|Nux moschata|Saccharum
f100r,3,Diarodon Abbatis,66.7,8,Cardamomum|Casia|Cinnamomum|Crocus|Cubeba|Galanga|Nux moschata|Saccharum
