Seccion,Total_Palabras,A2,B2,C1,G1,F1,C2,E2,Otras
Botanica,8187,36.67,14.72,16.06,13.68,2.46,2.89,0.66,12.86
Astronomia,2857,41.06,14.95,13.06,7.53,1.05,7.35,0.28,14.74
Biologia,6476,52.21,18.24,8.97,6.33,7.26,1.24,0.14,5.62
Farmacia,3520,33.89,21.34,14.55,11.05,2.39,4.86,0.23,11.7
Recetas,10431,40.21,12.97,12.13,12.64,6.96,2.13,0.24,12.73
