Stem,Type,N_Present,N_Absent,Present_Recipes,Absent_Recipes,Best_Candidate,Best_Category,Best_Score,Pos_Score,Neg_Score,Discriminativity,N_Candidates,All_Candidates,Confidence
A1Q2A1,GEN,4,8,"Aurea Alexandrina, Philonium Persicum, Trifera Magna, Unguentum Apostolorum","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",Myrrha,ESPECIA,0.818,1.0,0.625,0.652,1,Myrrha(0.818),UNIQUE
A1Q2J1A1,EXCL,4,8,"Aurea Alexandrina, Diamargariton, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Casia,ESPECIA,0.827,1.0,0.625,0.696,3,Casia(0.827) | Crocus(0.763) | Cinnamomum(0.607),MODERATE
A2Q1K2A1,UNK,4,8,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.835,1.0,0.625,0.739,5,Piper nigrum(0.835) | Piper longum(0.780) | Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),MODERATE
B1,UNK,4,8,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.835,1.0,0.625,0.739,5,Piper nigrum(0.835) | Piper longum(0.780) | Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),MODERATE
D1A1A3,UNK,4,8,"Aurea Alexandrina, Philonium Persicum, Trifera Magna, Unguentum Apostolorum","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",Myrrha,ESPECIA,0.818,1.0,0.625,0.652,1,Myrrha(0.818),UNIQUE
D1A1Q1A3,GEN,4,9,"Aurea Alexandrina, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Opium,ACTIVO,0.806,1.0,0.556,0.696,6,Opium(0.806) | Castoreum(0.806) | Piper longum(0.764) | Zingiber(0.713) | Mel despumatum(0.704),AMBIGUOUS
D1A1Q1K2A1,EXCL,4,8,"Aurea Alexandrina, Diamargariton, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Casia,ESPECIA,0.827,1.0,0.625,0.696,3,Casia(0.827) | Crocus(0.763) | Cinnamomum(0.607),MODERATE
D1A1Q2A3,GEN,4,9,"Aurea Alexandrina, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Opium,ACTIVO,0.806,1.0,0.556,0.696,6,Opium(0.806) | Castoreum(0.806) | Piper longum(0.764) | Zingiber(0.713) | Mel despumatum(0.704),AMBIGUOUS
K1A1B2,UNK,4,8,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.835,1.0,0.625,0.739,5,Piper nigrum(0.835) | Piper longum(0.780) | Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),MODERATE
K1A1U1,UNK,4,8,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.835,1.0,0.625,0.739,5,Piper nigrum(0.835) | Piper longum(0.780) | Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),MODERATE
