Tipo_Vocabulario,Total_Botanica,Reaparece_Farmacia,Reaparece_Recetas,No_Reaparece_Nunca
Nombres_Propios_Exclusivos,160,51,65,85
Nombres_Genericos_Comunes,57,51,47,2
