Folio_Receta,Total_Palabras,N_Ingredientes_Exclusivos,N_Ingredientes_Genericos,N_Acciones_A2,Ratio_Exclusivos_%,Ratio_Genericos_%,Ratio_Acciones_%,Lista_Exclusivos_Top5,Lista_Genericos_Top5,Etiquetas_Dominantes
f108v,562,12,21,265,4.6,15.7,47.2,A1Q2A3(6) | D1A1Q1K2A1(4) | BaA3(3) | A1Q1J1A3(3) | A1Q1J1A1(2),B1A3(16) | A1Q1A3(10) | C2A3(9) | K1J1A1(9) | D1A1Q1A3(8),A2:265 | B2:84 | G1:54 | C1:51
f111r,602,19,19,288,5.0,11.8,47.8,A1Q2A3(4) | L1J1A3(3) | D1A1Q1K2A1(3) | A1B2A3(2) | D1A1Q1J1A1(2),B1A3(19) | C2A3(8) | D1A1Q1A3(7) | K1J1A3(6) | K1A3(5),A2:288 | B2:72 | C1:56 | F1:48
f111v,553,14,21,193,7.8,24.1,34.9,A1Q2A3(17) | B2A1(5) | L1J1A3(3) | B2K1A3(3) | K1Q1A3(3),D1A1Q1A3(39) | A1Q1A3(18) | K1J1A3(12) | D1A1Q2A3(9) | Q2A3(7),A2:193 | F1:106 | B2:68 | C1:65
f112r,385,9,18,185,5.7,12.2,48.1,A1Q2A3(11) | A1B2A3(3) | A1Q2J1A1(2) | BaA3(1) | D1A1P1A1(1),C2A3(10) | A1Q1A3(7) | K1A1(4) | D1A1(4) | D1A1Q1A3(4),A2:185 | C1:54 | B2:40 | G1:32
f112v,409,17,20,159,7.1,16.4,38.9,A1Q2A3(10) | K1J1Q1A3(2) | B2A1(2) | K1K2A1(2) | A1P1A3(1),A1Q1A3(10) | C2A3(8) | B1A3(8) | D1A1Q1A3(7) | K1A1(7),A2:159 | G1:60 | B2:55 | C1:49
f113r,511,18,28,184,7.4,18.8,36.0,A1Q2A3(14) | K1J1A1A3(3) | K1A1B1A3(2) | B2K1A1(2) | K1Q1A3(2),K1A1(14) | D1A1Q1A3(13) | A1Q1A3(11) | K1A3(7) | L1J1A1(6),A2:184 | G1:78 | C1:75 | B2:69
f113v,480,15,22,139,10.8,19.2,29.0,A1Q2A3(26) | A1B2A3(7) | A1Q2J1A1(3) | B2A1(3) | A1B2A1(2),A1Q1A3(25) | D1A1Q1A3(17) | B1A3(9) | D1A1Q2A3(8) | K1J1A1(6),A2:139 | C1:89 | G1:85 | B2:74
f114r,445,14,22,127,6.5,20.4,28.5,A1Q2A3(10) | K1A1B1A3(5) | A2Q2A3(2) | A1P1A3(2) | A1A1(1),B1A3(26) | D1A1Q1A3(9) | A1Q1A3(9) | D1A1B1A3(6) | D1A1Q2A3(6),A2:127 | G1:91 | B2:44 | C1:36
f114v,364,11,20,126,7.1,18.1,34.6,A1Q2A3(15) | BaA3(2) | K1A1A3(1) | A2Q2A3(1) | A2A1(1),D1A1Q2A3(14) | B1A3(12) | D1A1Q1A3(6) | A1Q1A3(5) | D1A1Q1A1(4),A2:126 | G1:68 | B2:44 | C1:26
f115r,435,14,23,163,5.3,18.9,37.5,B2A1(5) | A1Q2A3(4) | K1Q1A3(2) | D1A1Q1J1A1(2) | D1A1Q1K2A1(1),B1A3(16) | K1A1(10) | D1A1Q1A3(8) | D1A1Q2A3(8) | K1J1A1(7),A2:163 | C1:82 | G1:39 | B2:38
f115v,402,11,22,163,5.0,12.7,40.5,K1A1B1A3(3) | A1Q2A3(3) | B2A1(3) | A2Q2A3(2) | B2K1A3(2),D1A1Q1A3(9) | D1A1Q2A3(7) | A1Q1A3(4) | D1A1(3) | B1A3(3),A2:163 | C1:47 | B2:39 | F1:33
f116r,535,13,18,240,5.6,17.6,44.9,A1Q2A3(12) | L1J1A3(4) | B2A1(3) | A1B2A3(2) | A1Q2J1A1(1),D1A1Q1A3(27) | B1A3(14) | A1Q1A3(13) | D1A1(9) | D1A1Q2A3(5),A2:240 | F1:87 | C1:61 | B2:59
