Folio,Recipe,F1,N_TP
f101r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),70.0,7
f101r,Unguentum Abulcasis (de vulneribus),15.4,1
f101r,Theriac Abulcasis (contra venenos),60.9,7
f101r,Antidotum Hadriani,66.7,7
f101r,Electuarium Ducis,47.1,4
f101r,Benedicta Laxativa,37.5,3
f101r,Diatragacanthi,14.3,1
f101r,Dianucum (Electuario de Nueces),47.1,4
f101r,Electuarium Diaspermaton,55.6,5
f101r,Philonium Romanum,73.7,7
f101r,Theriac Diatessaron Magna,35.3,3
f101v,Theriac Magna (Triaca de Andromachus),60.9,7
f101v,Mithridatium,66.7,7
f101v,Diascordium,47.1,4
f101v,Pillulae Cochiae,0,0
f101v,Pillulae Aureae,36.4,2
f101v,Unguentum Apostolorum,33.3,2
f101v,Electuarium de Succo Rosarum,36.4,2
f101v,Aurea Alexandrina,63.2,6
f101v,Confectio Hamech,46.2,3
f101v,Hiera Picra (Hiera de Galeno),50.0,3
f101v,Trifera Magna,56.0,7
f101v,Diamargariton (Electuario de Perlas),37.5,3
f101v,Diaciminum (Electuario de Comino),57.1,4
f101v,Unguentum Basilicon,22.2,1
f101v,Unguentum Populeon,0,0
f101v,Pillulae de Hiera cum Agarico,36.4,2
f101v,Pillulae Fetidae (Pildoras Fetidas),30.8,2
f101v,Requies Magna (Requies Nicolai),30.8,2
f101v,Diacodion (Jarabe de Adormidera),20.0,1
f101v,Dialtea (Ungueento de Altea),0,0
f101v,Philonium Persicum,73.7,7
f101v,Oximel Compositum,33.3,2
f101v,Theriac Diatessaron,36.4,2
f101v,Theodoricon Euporistum,70.0,7
f101v,Diasatyrion,58.8,5
f101v,Diarodon Abbatis,35.3,3
f101v,Rosata Novella,28.6,2
f101v,Letitia Galeni,37.5,3
f101v,Trifera Saracenica,77.8,7
f101v,Paulinum,66.7,6
f101v,Electuarium Justinum,73.7,7
f101v,Electuarium de Baccis Lauri,53.3,4
f101v,Syrupus de Fumaria,20.0,1
f101v,Confectio Anacardia,66.7,5
f101v,Electuarium Diacostum,53.3,4
f101v,Unguentum Marciaton,0,0
f101v,Suffuf al-Tib (Polvo aromatico de Avicena),40.0,3
f101v,Itrifal Ustukhudus (Electuario de Espliego),61.5,4
f101v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),36.4,2
f101v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),75.0,6
f101v,Unguentum Abulcasis (de vulneribus),22.2,1
f101v,Theriac Abulcasis (contra venenos),73.7,7
f101v,Antidotum Hadriani,58.8,5
f101v,Electuarium Ducis,46.2,3
f101v,Benedicta Laxativa,50.0,3
f101v,Diatragacanthi,20.0,1
f101v,Dianucum (Electuario de Nueces),61.5,4
