Folio,Recipe,F1,N_TP
f106r,Pillulae Aureae,28.6,2
f106r,Unguentum Apostolorum,13.3,1
f106r,Electuarium de Succo Rosarum,42.9,3
f106r,Aurea Alexandrina,90.9,10
f106r,Confectio Hamech,37.5,3
f106r,Hiera Picra (Hiera de Galeno),40.0,3
f106r,Trifera Magna,71.4,10
f106r,Diamargariton (Electuario de Perlas),52.6,5
f106r,Diaciminum (Electuario de Comino),47.1,4
f106r,Unguentum Basilicon,0,0
f106r,Unguentum Populeon,0,0
f106r,Pillulae de Hiera cum Agarico,28.6,2
f106r,Pillulae Fetidae (Pildoras Fetidas),25.0,2
f106r,Requies Magna (Requies Nicolai),37.5,3
f106r,Diacodion (Jarabe de Adormidera),30.8,2
f106r,Dialtea (Ungueento de Altea),0,0
f106r,Philonium Persicum,81.8,9
f106r,Oximel Compositum,40.0,3
f106r,Theriac Diatessaron,14.3,1
f106r,Theodoricon Euporistum,87.0,10
f106r,Diasatyrion,60.0,6
f106r,Diarodon Abbatis,50.0,5
f106r,Rosata Novella,35.3,3
f106r,Letitia Galeni,42.1,4
f106r,Trifera Saracenica,85.7,9
f106r,Paulinum,85.7,9
f106r,Electuarium Justinum,81.8,9
f106r,Electuarium de Baccis Lauri,55.6,5
f106r,Syrupus de Fumaria,30.8,2
f106r,Confectio Anacardia,66.7,6
f106r,Electuarium Diacostum,55.6,5
f106r,Unguentum Marciaton,0,0
f106r,Suffuf al-Tib (Polvo aromatico de Avicena),44.4,4
f106r,Itrifal Ustukhudus (Electuario de Espliego),37.5,3
f106r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),14.3,1
f106r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),73.7,7
f106r,Unguentum Abulcasis (de vulneribus),16.7,1
f106r,Theriac Abulcasis (contra venenos),63.6,7
f106r,Antidotum Hadriani,70.0,7
f106r,Electuarium Ducis,50.0,4
f106r,Benedicta Laxativa,53.3,4
f106r,Diatragacanthi,30.8,2
f106r,Dianucum (Electuario de Nueces),50.0,4
f106r,Electuarium Diaspermaton,47.1,4
f106r,Philonium Romanum,66.7,6
f106r,Theriac Diatessaron Magna,37.5,3
f106v,Theriac Magna (Triaca de Andromachus),60.9,7
f106v,Mithridatium,66.7,7
f106v,Diascordium,47.1,4
f106v,Pillulae Cochiae,0,0
f106v,Pillulae Aureae,18.2,1
f106v,Unguentum Apostolorum,16.7,1
f106v,Electuarium de Succo Rosarum,18.2,1
f106v,Aurea Alexandrina,63.2,6
f106v,Confectio Hamech,15.4,1
f106v,Hiera Picra (Hiera de Galeno),33.3,2
f106v,Trifera Magna,56.0,7
f106v,Diamargariton (Electuario de Perlas),37.5,3
f106v,Diaciminum (Electuario de Comino),28.6,2
f106v,Unguentum Basilicon,0,0
f106v,Unguentum Populeon,0,0
f106v,Pillulae de Hiera cum Agarico,18.2,1
f106v,Pillulae Fetidae (Pildoras Fetidas),30.8,2
f106v,Requies Magna (Requies Nicolai),15.4,1
f106v,Diacodion (Jarabe de Adormidera),0,0
f106v,Dialtea (Ungueento de Altea),0,0
f106v,Philonium Persicum,84.2,8
f106v,Oximel Compositum,33.3,2
f106v,Theriac Diatessaron,18.2,1
f106v,Theodoricon Euporistum,70.0,7
f106v,Diasatyrion,47.1,4
f106v,Diarodon Abbatis,35.3,3
f106v,Rosata Novella,14.3,1
f106v,Letitia Galeni,25.0,2
f106v,Trifera Saracenica,77.8,7
f106v,Paulinum,66.7,6
f106v,Electuarium Justinum,63.2,6
f106v,Electuarium de Baccis Lauri,40.0,3
f106v,Syrupus de Fumaria,0,0
f106v,Confectio Anacardia,53.3,4
f106v,Electuarium Diacostum,53.3,4
f106v,Unguentum Marciaton,0,0
f106v,Suffuf al-Tib (Polvo aromatico de Avicena),40.0,3
f106v,Itrifal Ustukhudus (Electuario de Espliego),30.8,2
f106v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),18.2,1
f106v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),62.5,5
f106v,Unguentum Abulcasis (de vulneribus),22.2,1
f106v,Theriac Abulcasis (contra venenos),52.6,5
f106v,Antidotum Hadriani,70.6,6
f106v,Electuarium Ducis,30.8,2
f106v,Benedicta Laxativa,33.3,2
f106v,Diatragacanthi,0,0
f106v,Dianucum (Electuario de Nueces),30.8,2
f106v,Electuarium Diaspermaton,28.6,2
f106v,Philonium Romanum,53.3,4
f106v,Theriac Diatessaron Magna,30.8,2
f107r,Theriac Magna (Triaca de Andromachus),54.5,6
f107r,Mithridatium,70.0,7
f107r,Diascordium,50.0,4
f107r,Pillulae Cochiae,0,0
f107r,Pillulae Aureae,40.0,2
f107r,Unguentum Apostolorum,18.2,1
f107r,Electuarium de Succo Rosarum,40.0,2
f107r,Aurea Alexandrina,66.7,6
f107r,Confectio Hamech,33.3,2
f107r,Hiera Picra (Hiera de Galeno),36.4,2
f107r,Trifera Magna,58.3,7
f107r,Diamargariton (Electuario de Perlas),40.0,3
f107r,Diaciminum (Electuario de Comino),46.2,3
f107r,Unguentum Basilicon,0,0
f107r,Unguentum Populeon,0,0
f107r,Pillulae de Hiera cum Agarico,40.0,2
f107r,Pillulae Fetidae (Pildoras Fetidas),33.3,2
f107r,Requies Magna (Requies Nicolai),33.3,2
f107r,Diacodion (Jarabe de Adormidera),22.2,1
f107r,Dialtea (Ungueento de Altea),0,0
f107r,Philonium Persicum,77.8,7
f107r,Oximel Compositum,36.4,2
f107r,Theriac Diatessaron,20.0,1
f107r,Theodoricon Euporistum,73.7,7
f107r,Diasatyrion,62.5,5
f107r,Diarodon Abbatis,37.5,3
f107r,Rosata Novella,30.8,2
f107r,Letitia Galeni,40.0,3
f107r,Trifera Saracenica,82.4,7
f107r,Paulinum,70.6,6
f107r,Electuarium Justinum,66.7,6
f107r,Electuarium de Baccis Lauri,57.1,4
f107r,Syrupus de Fumaria,22.2,1
f107r,Confectio Anacardia,71.4,5
f107r,Electuarium Diacostum,57.1,4
f107r,Unguentum Marciaton,0,0
f107r,Suffuf al-Tib (Polvo aromatico de Avicena),42.9,3
f107r,Itrifal Ustukhudus (Electuario de Espliego),50.0,3
f107r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),20.0,1
f107r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),66.7,5
f107r,Unguentum Abulcasis (de vulneribus),25.0,1
f107r,Theriac Abulcasis (contra venenos),66.7,6
f107r,Antidotum Hadriani,75.0,6
f107r,Electuarium Ducis,50.0,3
f107r,Benedicta Laxativa,54.5,3
f107r,Diatragacanthi,22.2,1
f107r,Dianucum (Electuario de Nueces),50.0,3
f107r,Electuarium Diaspermaton,46.2,3
f107r,Philonium Romanum,71.4,5
f107r,Theriac Diatessaron Magna,50.0,3
f107v,Theriac Magna (Triaca de Andromachus),64.0,8
f107v,Mithridatium,78.3,9
f107v,Diascordium,42.1,4
f107v,Pillulae Cochiae,18.2,1
f107v,Pillulae Aureae,15.4,1
f107v,Unguentum Apostolorum,28.6,2
f107v,Electuarium de Succo Rosarum,15.4,1
f107v,Aurea Alexandrina,76.2,8
f107v,Confectio Hamech,26.7,2
f107v,Hiera Picra (Hiera de Galeno),42.9,3
f107v,Trifera Magna,74.1,10
f107v,Diamargariton (Electuario de Perlas),33.3,3
f107v,Diaciminum (Electuario de Comino),50.0,4
f107v,Unguentum Basilicon,0,0
f107v,Unguentum Populeon,0,0
f107v,Pillulae de Hiera cum Agarico,15.4,1
f107v,Pillulae Fetidae (Pildoras Fetidas),40.0,3
f107v,Requies Magna (Requies Nicolai),13.3,1
f107v,Diacodion (Jarabe de Adormidera),0,0
f107v,Dialtea (Ungueento de Altea),0,0
f107v,Philonium Persicum,85.7,9
f107v,Oximel Compositum,42.9,3
f107v,Theriac Diatessaron,30.8,2
f107v,Theodoricon Euporistum,81.8,9
f107v,Diasatyrion,52.6,5
f107v,Diarodon Abbatis,31.6,3
f107v,Rosata Novella,12.5,1
f107v,Letitia Galeni,22.2,2
f107v,Trifera Saracenica,90.0,9
f107v,Paulinum,80.0,8
f107v,Electuarium Justinum,76.2,8
f107v,Electuarium de Baccis Lauri,47.1,4
f107v,Syrupus de Fumaria,0,0
f107v,Confectio Anacardia,70.6,6
f107v,Electuarium Diacostum,58.8,5
f107v,Unguentum Marciaton,0,0
f107v,Suffuf al-Tib (Polvo aromatico de Avicena),35.3,3
f107v,Itrifal Ustukhudus (Electuario de Espliego),40.0,3
f107v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2
f107v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),77.8,7
f107v,Unguentum Abulcasis (de vulneribus),18.2,1
f107v,Theriac Abulcasis (contra venenos),66.7,7
f107v,Antidotum Hadriani,73.7,7
f107v,Electuarium Ducis,40.0,3
f107v,Benedicta Laxativa,28.6,2
f107v,Diatragacanthi,0,0
f107v,Dianucum (Electuario de Nueces),53.3,4
f107v,Electuarium Diaspermaton,37.5,3
f107v,Philonium Romanum,70.6,6
f107v,Theriac Diatessaron Magna,40.0,3
f108r,Theriac Magna (Triaca de Andromachus),69.2,9
f108r,Mithridatium,75.0,9
f108r,Diascordium,30.0,3
f108r,Pillulae Cochiae,16.7,1
f108r,Pillulae Aureae,14.3,1
f108r,Unguentum Apostolorum,26.7,2
f108r,Electuarium de Succo Rosarum,14.3,1
f108r,Aurea Alexandrina,72.7,8
f108r,Confectio Hamech,12.5,1
f108r,Hiera Picra (Hiera de Galeno),26.7,2
f108r,Trifera Magna,78.6,11
f108r,Diamargariton (Electuario de Perlas),31.6,3
f108r,Diaciminum (Electuario de Comino),47.1,4
f108r,Unguentum Basilicon,0,0
f108r,Unguentum Populeon,0,0
f108r,Pillulae de Hiera cum Agarico,14.3,1
f108r,Pillulae Fetidae (Pildoras Fetidas),37.5,3
f108r,Requies Magna (Requies Nicolai),12.5,1
f108r,Diacodion (Jarabe de Adormidera),0,0
f108r,Dialtea (Ungueento de Altea),0,0
f108r,Philonium Persicum,72.7,8
f108r,Oximel Compositum,40.0,3
f108r,Theriac Diatessaron,14.3,1
f108r,Theodoricon Euporistum,87.0,10
f108r,Diasatyrion,40.0,4
f108r,Diarodon Abbatis,30.0,3
f108r,Rosata Novella,11.8,1
f108r,Letitia Galeni,21.1,2
f108r,Trifera Saracenica,76.2,8
f108r,Paulinum,76.2,8
f108r,Electuarium Justinum,81.8,9
f108r,Electuarium de Baccis Lauri,44.4,4
f108r,Syrupus de Fumaria,0,0
f108r,Confectio Anacardia,55.6,5
f108r,Electuarium Diacostum,55.6,5
f108r,Unguentum Marciaton,0,0
f108r,Suffuf al-Tib (Polvo aromatico de Avicena),33.3,3
f108r,Itrifal Ustukhudus (Electuario de Espliego),25.0,2
f108r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),14.3,1
f108r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),63.2,6
f108r,Unguentum Abulcasis (de vulneribus),16.7,1
f108r,Theriac Abulcasis (contra venenos),54.5,6
f108r,Antidotum Hadriani,60.0,6
f108r,Electuarium Ducis,25.0,2
f108r,Benedicta Laxativa,26.7,2
f108r,Diatragacanthi,0,0
f108r,Dianucum (Electuario de Nueces),37.5,3
f108r,Electuarium Diaspermaton,47.1,4
f108r,Philonium Romanum,55.6,5
f108r,Theriac Diatessaron Magna,25.0,2
f108v,Theriac Magna (Triaca de Andromachus),72.0,9
f108v,Mithridatium,78.3,9
f108v,Diascordium,42.1,4
f108v,Pillulae Cochiae,0,0
f108v,Pillulae Aureae,30.8,2
f108v,Unguentum Apostolorum,14.3,1
f108v,Electuarium de Succo Rosarum,30.8,2
f108v,Aurea Alexandrina,76.2,8
f108v,Confectio Hamech,26.7,2
f108v,Hiera Picra (Hiera de Galeno),42.9,3
f108v,Trifera Magna,74.1,10
f108v,Diamargariton (Electuario de Perlas),44.4,4
f108v,Diaciminum (Electuario de Comino),50.0,4
f108v,Unguentum Basilicon,0,0
f108v,Unguentum Populeon,0,0
f108v,Pillulae de Hiera cum Agarico,30.8,2
f108v,Pillulae Fetidae (Pildoras Fetidas),26.7,2
f108v,Requies Magna (Requies Nicolai),26.7,2
f108v,Diacodion (Jarabe de Adormidera),16.7,1
f108v,Dialtea (Ungueento de Altea),0,0
f108v,Philonium Persicum,76.2,8
f108v,Oximel Compositum,42.9,3
f108v,Theriac Diatessaron,15.4,1
f108v,Theodoricon Euporistum,90.9,10
f108v,Diasatyrion,52.6,5
f108v,Diarodon Abbatis,42.1,4
f108v,Rosata Novella,25.0,2
f108v,Letitia Galeni,33.3,3
f108v,Trifera Saracenica,80.0,8
f108v,Paulinum,80.0,8
f108v,Electuarium Justinum,85.7,9
f108v,Electuarium de Baccis Lauri,58.8,5
f108v,Syrupus de Fumaria,16.7,1
f108v,Confectio Anacardia,58.8,5
f108v,Electuarium Diacostum,70.6,6
f108v,Unguentum Marciaton,0,0
f108v,Suffuf al-Tib (Polvo aromatico de Avicena),47.1,4
f108v,Itrifal Ustukhudus (Electuario de Espliego),40.0,3
f108v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),15.4,1
f108v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),66.7,6
f108v,Unguentum Abulcasis (de vulneribus),18.2,1
f108v,Theriac Abulcasis (contra venenos),57.1,6
f108v,Antidotum Hadriani,73.7,7
f108v,Electuarium Ducis,40.0,3
f108v,Benedicta Laxativa,42.9,3
f108v,Diatragacanthi,16.7,1
f108v,Dianucum (Electuario de Nueces),40.0,3
f108v,Electuarium Diaspermaton,62.5,5
f108v,Philonium Romanum,58.8,5
f108v,Theriac Diatessaron Magna,40.0,3
f111r,Theriac Magna (Triaca de Andromachus),69.2,9
f111r,Mithridatium,75.0,9
f111r,Diascordium,30.0,3
f111r,Pillulae Cochiae,16.7,1
f111r,Pillulae Aureae,14.3,1
f111r,Unguentum Apostolorum,40.0,3
f111r,Electuarium de Succo Rosarum,14.3,1
f111r,Aurea Alexandrina,63.6,7
f111r,Confectio Hamech,12.5,1
f111r,Hiera Picra (Hiera de Galeno),26.7,2
f111r,Trifera Magna,78.6,11
f111r,Diamargariton (Electuario de Perlas),31.6,3
f111r,Diaciminum (Electuario de Comino),35.3,3
f111r,Unguentum Basilicon,0,0
f111r,Unguentum Populeon,0,0
f111r,Pillulae de Hiera cum Agarico,14.3,1
f111r,Pillulae Fetidae (Pildoras Fetidas),50.0,4
f111r,Requies Magna (Requies Nicolai),12.5,1
f111r,Diacodion (Jarabe de Adormidera),0,0
f111r,Dialtea (Ungueento de Altea),0,0
f111r,Philonium Persicum,63.6,7
f111r,Oximel Compositum,40.0,3
f111r,Theriac Diatessaron,14.3,1
f111r,Theodoricon Euporistum,78.3,9
f111r,Diasatyrion,40.0,4
f111r,Diarodon Abbatis,30.0,3
f111r,Rosata Novella,11.8,1
f111r,Letitia Galeni,21.1,2
f111r,Trifera Saracenica,66.7,7
f111r,Paulinum,66.7,7
f111r,Electuarium Justinum,72.7,8
f111r,Electuarium de Baccis Lauri,44.4,4
f111r,Syrupus de Fumaria,0,0
f111r,Confectio Anacardia,44.4,4
f111r,Electuarium Diacostum,55.6,5
f111r,Unguentum Marciaton,0,0
f111r,Suffuf al-Tib (Polvo aromatico de Avicena),33.3,3
f111r,Itrifal Ustukhudus (Electuario de Espliego),25.0,2
f111r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),14.3,1
f111r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5
f111r,Unguentum Abulcasis (de vulneribus),16.7,1
f111r,Theriac Abulcasis (contra venenos),54.5,6
f111r,Antidotum Hadriani,60.0,6
f111r,Electuarium Ducis,25.0,2
f111r,Benedicta Laxativa,26.7,2
f111r,Diatragacanthi,0,0
f111r,Dianucum (Electuario de Nueces),25.0,2
f111r,Electuarium Diaspermaton,47.1,4
f111r,Philonium Romanum,44.4,4
f111r,Theriac Diatessaron Magna,25.0,2
f111v,Theriac Magna (Triaca de Andromachus),69.2,9
f111v,Mithridatium,75.0,9
f111v,Diascordium,40.0,4
f111v,Pillulae Cochiae,16.7,1
f111v,Pillulae Aureae,14.3,1
f111v,Unguentum Apostolorum,26.7,2
f111v,Electuarium de Succo Rosarum,14.3,1
f111v,Aurea Alexandrina,72.7,8
f111v,Confectio Hamech,25.0,2
f111v,Hiera Picra (Hiera de Galeno),40.0,3
f111v,Trifera Magna,78.6,11
f111v,Diamargariton (Electuario de Perlas),31.6,3
f111v,Diaciminum (Electuario de Comino),47.1,4
f111v,Unguentum Basilicon,0,0
f111v,Unguentum Populeon,0,0
f111v,Pillulae de Hiera cum Agarico,14.3,1
f111v,Pillulae Fetidae (Pildoras Fetidas),37.5,3
f111v,Requies Magna (Requies Nicolai),12.5,1
f111v,Diacodion (Jarabe de Adormidera),0,0
f111v,Dialtea (Ungueento de Altea),0,0
f111v,Philonium Persicum,72.7,8
f111v,Oximel Compositum,53.3,4
f111v,Theriac Diatessaron,28.6,2
f111v,Theodoricon Euporistum,87.0,10
f111v,Diasatyrion,50.0,5
f111v,Diarodon Abbatis,30.0,3
f111v,Rosata Novella,11.8,1
f111v,Letitia Galeni,21.1,2
f111v,Trifera Saracenica,76.2,8
f111v,Paulinum,76.2,8
f111v,Electuarium Justinum,81.8,9
f111v,Electuarium de Baccis Lauri,55.6,5
f111v,Syrupus de Fumaria,0,0
f111v,Confectio Anacardia,55.6,5
f111v,Electuarium Diacostum,66.7,6
f111v,Unguentum Marciaton,0,0
f111v,Suffuf al-Tib (Polvo aromatico de Avicena),33.3,3
f111v,Itrifal Ustukhudus (Electuario de Espliego),37.5,3
f111v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),28.6,2
f111v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),63.2,6
f111v,Unguentum Abulcasis (de vulneribus),16.7,1
f111v,Theriac Abulcasis (contra venenos),54.5,6
f111v,Antidotum Hadriani,70.0,7
f111v,Electuarium Ducis,37.5,3
f111v,Benedicta Laxativa,26.7,2
f111v,Diatragacanthi,0,0
f111v,Dianucum (Electuario de Nueces),37.5,3
f111v,Electuarium Diaspermaton,58.8,5
f111v,Philonium Romanum,55.6,5
f111v,Theriac Diatessaron Magna,37.5,3
f112r,Theriac Magna (Triaca de Andromachus),58.3,7
f112r,Mithridatium,72.7,8
f112r,Diascordium,44.4,4
f112r,Pillulae Cochiae,20.0,1
f112r,Pillulae Aureae,33.3,2
f112r,Unguentum Apostolorum,30.8,2
f112r,Electuarium de Succo Rosarum,33.3,2
f112r,Aurea Alexandrina,70.0,7
f112r,Confectio Hamech,28.6,2
f112r,Hiera Picra (Hiera de Galeno),46.2,3
f112r,Trifera Magna,69.2,9
f112r,Diamargariton (Electuario de Perlas),47.1,4
f112r,Diaciminum (Electuario de Comino),40.0,3
f112r,Unguentum Basilicon,0,0
f112r,Unguentum Populeon,0,0
f112r,Pillulae de Hiera cum Agarico,33.3,2
f112r,Pillulae Fetidae (Pildoras Fetidas),42.9,3
f112r,Requies Magna (Requies Nicolai),28.6,2
f112r,Diacodion (Jarabe de Adormidera),18.2,1
f112r,Dialtea (Ungueento de Altea),0,0
f112r,Philonium Persicum,80.0,8
f112r,Oximel Compositum,30.8,2
f112r,Theriac Diatessaron,16.7,1
f112r,Theodoricon Euporistum,76.2,8
f112r,Diasatyrion,55.6,5
f112r,Diarodon Abbatis,44.4,4
f112r,Rosata Novella,26.7,2
f112r,Letitia Galeni,35.3,3
f112r,Trifera Saracenica,84.2,8
f112r,Paulinum,73.7,7
f112r,Electuarium Justinum,70.0,7
f112r,Electuarium de Baccis Lauri,50.0,4
f112r,Syrupus de Fumaria,18.2,1
f112r,Confectio Anacardia,62.5,5
f112r,Electuarium Diacostum,62.5,5
f112r,Unguentum Marciaton,0,0
f112r,Suffuf al-Tib (Polvo aromatico de Avicena),50.0,4
f112r,Itrifal Ustukhudus (Electuario de Espliego),42.9,3
f112r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),16.7,1
f112r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),70.6,6
f112r,Unguentum Abulcasis (de vulneribus),20.0,1
f112r,Theriac Abulcasis (contra venenos),60.0,6
f112r,Antidotum Hadriani,77.8,7
f112r,Electuarium Ducis,42.9,3
f112r,Benedicta Laxativa,46.2,3
f112r,Diatragacanthi,18.2,1
f112r,Dianucum (Electuario de Nueces),42.9,3
f112r,Electuarium Diaspermaton,40.0,3
f112r,Philonium Romanum,62.5,5
f112r,Theriac Diatessaron Magna,42.9,3
f112v,Theriac Magna (Triaca de Andromachus),72.0,9
f112v,Mithridatium,69.6,8
f112v,Diascordium,63.2,6
f112v,Pillulae Cochiae,18.2,1
f112v,Pillulae Aureae,15.4,1
f112v,Unguentum Apostolorum,42.9,3
f112v,Electuarium de Succo Rosarum,15.4,1
f112v,Aurea Alexandrina,66.7,7
f112v,Confectio Hamech,26.7,2
f112v,Hiera Picra (Hiera de Galeno),42.9,3
f112v,Trifera Magna,59.3,8
f112v,Diamargariton (Electuario de Perlas),22.2,2
f112v,Diaciminum (Electuario de Comino),37.5,3
f112v,Unguentum Basilicon,18.2,1
f112v,Unguentum Populeon,0,0
f112v,Pillulae de Hiera cum Agarico,15.4,1
f112v,Pillulae Fetidae (Pildoras Fetidas),53.3,4
f112v,Requies Magna (Requies Nicolai),13.3,1
f112v,Diacodion (Jarabe de Adormidera),0,0
f112v,Dialtea (Ungueento de Altea),0,0
f112v,Philonium Persicum,66.7,7
f112v,Oximel Compositum,42.9,3
f112v,Theriac Diatessaron,46.2,3
f112v,Theodoricon Euporistum,63.6,7
f112v,Diasatyrion,42.1,4
f112v,Diarodon Abbatis,21.1,2
f112v,Rosata Novella,12.5,1
f112v,Letitia Galeni,11.1,1
f112v,Trifera Saracenica,70.0,7
f112v,Paulinum,70.0,7
f112v,Electuarium Justinum,57.1,6
f112v,Electuarium de Baccis Lauri,58.8,5
f112v,Syrupus de Fumaria,0,0
f112v,Confectio Anacardia,58.8,5
f112v,Electuarium Diacostum,47.1,4
f112v,Unguentum Marciaton,0,0
f112v,Suffuf al-Tib (Polvo aromatico de Avicena),23.5,2
f112v,Itrifal Ustukhudus (Electuario de Espliego),40.0,3
f112v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),46.2,3
f112v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),55.6,5
f112v,Unguentum Abulcasis (de vulneribus),18.2,1
f112v,Theriac Abulcasis (contra venenos),76.2,8
f112v,Antidotum Hadriani,84.2,8
f112v,Electuarium Ducis,40.0,3
f112v,Benedicta Laxativa,28.6,2
f112v,Diatragacanthi,0,0
f112v,Dianucum (Electuario de Nueces),40.0,3
f112v,Electuarium Diaspermaton,37.5,3
f112v,Philonium Romanum,58.8,5
f112v,Theriac Diatessaron Magna,53.3,4
f113r,Theriac Magna (Triaca de Andromachus),75.9,11
f113r,Mithridatium,74.1,10
f113r,Diascordium,52.2,6
f113r,Pillulae Cochiae,13.3,1
f113r,Pillulae Aureae,23.5,2
f113r,Unguentum Apostolorum,33.3,3
f113r,Electuarium de Succo Rosarum,11.8,1
f113r,Aurea Alexandrina,72.0,9
f113r,Confectio Hamech,31.6,3
f113r,Hiera Picra (Hiera de Galeno),33.3,3
f113r,Trifera Magna,77.4,12
f113r,Diamargariton (Electuario de Perlas),27.3,3
f113r,Diaciminum (Electuario de Comino),50.0,5
f113r,Unguentum Basilicon,13.3,1
f113r,Unguentum Populeon,0,0
f113r,Pillulae de Hiera cum Agarico,23.5,2
f113r,Pillulae Fetidae (Pildoras Fetidas),42.1,4
f113r,Requies Magna (Requies Nicolai),21.1,2
f113r,Diacodion (Jarabe de Adormidera),0,0
f113r,Dialtea (Ungueento de Altea),0,0
f113r,Philonium Persicum,72.0,9
f113r,Oximel Compositum,44.4,4
f113r,Theriac Diatessaron,23.5,2
f113r,Theodoricon Euporistum,84.6,11
f113r,Diasatyrion,43.5,5
f113r,Diarodon Abbatis,34.8,4
f113r,Rosata Novella,20.0,2
f113r,Letitia Galeni,27.3,3
f113r,Trifera Saracenica,75.0,9
f113r,Paulinum,75.0,9
f113r,Electuarium Justinum,80.0,10
f113r,Electuarium de Baccis Lauri,47.6,5
f113r,Syrupus de Fumaria,0,0
f113r,Confectio Anacardia,57.1,6
f113r,Electuarium Diacostum,57.1,6
f113r,Unguentum Marciaton,0,0
f113r,Suffuf al-Tib (Polvo aromatico de Avicena),38.1,4
f113r,Itrifal Ustukhudus (Electuario de Espliego),42.1,4
f113r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),23.5,2
f113r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),63.6,7
f113r,Unguentum Abulcasis (de vulneribus),13.3,1
f113r,Theriac Abulcasis (contra venenos),64.0,8
f113r,Antidotum Hadriani,60.9,7
f113r,Electuarium Ducis,31.6,3
f113r,Benedicta Laxativa,22.2,2
f113r,Diatragacanthi,0,0
f113r,Dianucum (Electuario de Nueces),42.1,4
f113r,Electuarium Diaspermaton,50.0,5
f113r,Philonium Romanum,57.1,6
f113r,Theriac Diatessaron Magna,31.6,3
f113v,Theriac Magna (Triaca de Andromachus),78.6,11
f113v,Mithridatium,84.6,11
f113v,Diascordium,45.5,5
f113v,Pillulae Cochiae,14.3,1
f113v,Pillulae Aureae,25.0,2
f113v,Unguentum Apostolorum,23.5,2
f113v,Electuarium de Succo Rosarum,25.0,2
f113v,Aurea Alexandrina,83.3,10
f113v,Confectio Hamech,33.3,3
f113v,Hiera Picra (Hiera de Galeno),47.1,4
f113v,Trifera Magna,86.7,13
f113v,Diamargariton (Electuario de Perlas),38.1,4
f113v,Diaciminum (Electuario de Comino),63.2,6
f113v,Unguentum Basilicon,0,0
f113v,Unguentum Populeon,0,0
f113v,Pillulae de Hiera cum Agarico,25.0,2
f113v,Pillulae Fetidae (Pildoras Fetidas),33.3,3
f113v,Requies Magna (Requies Nicolai),22.2,2
f113v,Diacodion (Jarabe de Adormidera),13.3,1
f113v,Dialtea (Ungueento de Altea),0,0
f113v,Philonium Persicum,83.3,10
f113v,Oximel Compositum,47.1,4
f113v,Theriac Diatessaron,25.0,2
f113v,Theodoricon Euporistum,96.0,12
f113v,Diasatyrion,54.5,6
f113v,Diarodon Abbatis,36.4,4
f113v,Rosata Novella,21.1,2
f113v,Letitia Galeni,28.6,3
f113v,Trifera Saracenica,87.0,10
f113v,Paulinum,87.0,10
f113v,Electuarium Justinum,91.7,11
f113v,Electuarium de Baccis Lauri,60.0,6
f113v,Syrupus de Fumaria,13.3,1
f113v,Confectio Anacardia,70.0,7
f113v,Electuarium Diacostum,70.0,7
f113v,Unguentum Marciaton,0,0
f113v,Suffuf al-Tib (Polvo aromatico de Avicena),40.0,4
f113v,Itrifal Ustukhudus (Electuario de Espliego),44.4,4
f113v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),25.0,2
f113v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),76.2,8
f113v,Unguentum Abulcasis (de vulneribus),14.3,1
f113v,Theriac Abulcasis (contra venenos),66.7,8
f113v,Antidotum Hadriani,72.7,8
f113v,Electuarium Ducis,44.4,4
f113v,Benedicta Laxativa,35.3,3
f113v,Diatragacanthi,13.3,1
f113v,Dianucum (Electuario de Nueces),55.6,5
f113v,Electuarium Diaspermaton,63.2,6
f113v,Philonium Romanum,70.0,7
f113v,Theriac Diatessaron Magna,44.4,4
f114r,Theriac Magna (Triaca de Andromachus),76.9,10
f114r,Mithridatium,91.7,11
f114r,Diascordium,60.0,6
f114r,Pillulae Cochiae,0,0
f114r,Pillulae Aureae,28.6,2
f114r,Unguentum Apostolorum,26.7,2
f114r,Electuarium de Succo Rosarum,28.6,2
f114r,Aurea Alexandrina,72.7,8
f114r,Confectio Hamech,37.5,3
