Folio,Recipe,F1,Overlap,Folio_N,Recipe_N,Overlap_Ingredients
f87v,Antidotum Hadriani,23.5,2,5,12,Crocus|Myrrha
f87v,Electuarium Ducis,0.0,0,5,11,
f87v,Benedicta Laxativa,11.8,1,5,12,Crocus
f87v,Diatragacanthi,0.0,0,5,6,
f87v,Dianucum (Electuario de Nueces),0.0,0,5,9,
f87v,Electuarium Diaspermaton,0.0,0,5,10,
f87v,Philonium Romanum,25.0,2,5,11,Crocus|Myrrha
f87v,Theriac Diatessaron Magna,15.4,1,5,8,Myrrha
f88r,Theriac Magna (Triaca de Andromachus),31.1,7,11,34,Casia|Crocus|Galbanum|Mel despumatum|Opopanax|Piper longum|Piper nigrum
f88r,Mithridatium,34.1,7,11,30,Cardamomum|Casia|Crocus|Mel despumatum|Opopanax|Piper longum|Piper nigrum
f88r,Diascordium,25.0,3,11,13,Galbanum|Mel despumatum|Piper longum
f88r,Pillulae Cochiae,0.0,0,11,6,
f88r,Pillulae Aureae,11.1,1,11,7,Crocus
f88r,Unguentum Apostolorum,17.4,2,11,12,Galbanum|Opopanax
f88r,Electuarium de Succo Rosarum,0.0,0,11,8,
f88r,Aurea Alexandrina,30.3,5,11,22,Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Confectio Hamech,7.7,1,11,15,Mel despumatum
f88r,Hiera Picra (Hiera de Galeno),28.6,3,11,10,Casia|Crocus|Mel despumatum
f88r,Trifera Magna,51.3,10,11,28,Cardamomum|Casia|Crocus|Cubeba|Galanga|Mel despumatum|Nux moschata|Opopanax|Piper longum|Piper nigrum
f88r,Diamargariton (Electuario de Perlas),44.4,6,11,16,Cardamomum|Casia|Crocus|Cubeba|Galanga|Nux moschata
f88r,Diaciminum (Electuario de Comino),27.3,3,11,11,Mel despumatum|Piper longum|Piper nigrum
f88r,Unguentum Basilicon,11.1,1,11,7,Galbanum
f88r,Unguentum Populeon,0.0,0,11,12,
f88r,Pillulae de Hiera cum Agarico,10.0,1,11,9,Crocus
f88r,Pillulae Fetidae (Pildoras Fetidas),21.1,2,11,8,Galbanum|Opopanax
f88r,Requies Magna (Requies Nicolai),14.3,2,11,17,Crocus|Nux moschata
f88r,Diacodion (Jarabe de Adormidera),0.0,0,11,6,
f88r,Dialtea (Ungueento de Altea),0.0,0,11,10,
