Nombre_Receta,Fuente,Tipo,Total_Ingredientes,N_Activos_Raros,N_Especias,N_Bases,Ratio_Activos_%,Ratio_Especias_%,Ratio_Bases_%,Lista_Activos,Lista_Especias,Lista_Bases
Theriaca Andromachii (Amsterdam 1698 OCR subset),Pharmacopoea Amstelredamensis 1698 OCR subset,Antidoto Universal / Panacea,25,14,8,3,56.0,32.0,12.0,Hypocystidis | Acaciae | Bituminis Judaici | Castorei | Trochisci Viperini | Trochisci Scillitici | Spicae nardi Indicae | Spicae nardi Celticae | Acori veri | Phu sive valerianae | Aristolochiae tenuis | Thlaspios | Hyperici | Chalciditis,Cinamomi | Cassiae ligneae | Piperis albi | Piperis nigri | Piperis longi | Croci Britannici | Myrrhae | Cardamomi minoris,Mellis Narbonensis | Vinum Canarini | Terebinthina
Mithridatium Damocratis (Amsterdam 1701),Pharmacopoea Amstelredamensis 1701 direct OCR extraction,Antidoto contra venenos,21,12,7,2,57.1,33.3,9.5,Acaciae | Hypocystidis | Thlaspios | Castorei | Galbani | Opopanacis | Bdellii | Gentianae | Acori veri | Phu sive Valerianae | Sagapeni | Hyperici,Croci Britannici | Myrrhae | Zingiberis | Cinamomi | Piperis longi | Cardamomi minoris | Rosarum rubrarum,Mellis Narbonensis | Vinum Canarini
Philonium Mesuae (Amsterdam 1701),Pharmacopoea Amstelredamensis 1701 direct OCR extraction,Analgesico / Antidiarreico,8,5,2,1,62.5,25.0,12.5,Hyoscyamus albus | Opii preparati | Pyrethrum | Spicae Nardi Indicae | Castorei,Piper albus | Crocus,Mellis despumati
Populeum (Amsterdam 1701),Pharmacopoea Amstelredamensis 1701 direct OCR extraction,Analgesico / Sedante topico,11,9,1,1,81.8,9.1,9.1,Populus (Gemmae) | Bardana | Hyoscyamus | Lactuca | Mandragora | Papaver nigrum | Sempervivum major | Sempervivum minor | Solanum,Viola,Axungia porci
